Team_Name,Manager,Captain
Naloxone,Jay-z,Millicent
Zonisamide,Beyonce,Bart
Oxygen,Jennifer Aniston,Gladys
Castor Oil,Taylor Swift,Rita
OSCIMIN,Dwayne Johnson,Sherill
CRESTOR,Will Smith,Fowler
Peppermint,Angelina Jolie,Ibby
ALMOST POWDER,Demi Lovato,Matilda
Valsartan,Katy Perry,Kitty
allergy,Kim Kardashian,Ethelbert
Bears,Rihanna,Janie
Neutrogena,Ariana Grande,Gray
Pacifica,Mark Wahlberg,Sergei
IBU,Johnny Depp,Kordula
Trazodone,Jennifer Lopez,Hamil
Venlafaxine,Tom Hanks,James
ANILINUM,Robert Downey Jr.,Space
Western Ragweed,Brad Pitt,Martin
ESIKA,Leonardo DiCaprioo,Stan
Caffeine Citrate,Ellen Degeneres,Greg
AMANTADINE,Celine Dion,Pablo
Health Smart,Britney Spears,Luke
Hydromorphone,Justin Bieber,Izaak
NEXT CHOICE,Drake,Terry
Lovastatin,Kevin Hart,Gherardo
FLOVENT,Cristiano Ronaldo,Claire
Panadol,Eminem,Blunt
CEFPROZIL,Oprah Winfrey,Selena
MALARONE,Ben Affleck,Jesus
POPULUS POLLEN,Tom Cruise,Charlotte
Chlorothiazide,Usher,Rickie
Calcitriol,George Clooney,Duky
