Number,TName,Position
1,Naloxone,GoalKeeper
34,Naloxone,Forward
35,Naloxone,Forward
60,Naloxone,Midfielder
64,Naloxone,Midfielder
71,Naloxone,Midfielder
73,Naloxone,Midfielder
75,Naloxone,Defender
78,Naloxone,Defender
15,Naloxone,Defender
12,Naloxone,Defender
93,Naloxone,Defender
2,Zonisamide,GoalKeeper
8,Zonisamide,Forward
19,Zonisamide,Forward
35,Zonisamide,Midfielder
42,Zonisamide,Midfielder
48,Zonisamide,Midfielder
49,Zonisamide,Defender
52,Zonisamide,Defender
63,Zonisamide,Defender
97,Zonisamide,Defender
14,Zonisamide,Defender
99,Zonisamide,Defender
87,Oxygen,Forward
86,Oxygen,Forward
59,Oxygen,Forward
55,Oxygen,Midfielder
44,Oxygen,Midfielder
36,Oxygen,Midfielder
33,Oxygen,Midfielder
27,Oxygen,Defender
17,Oxygen,Defender
15,Oxygen,Defender
3,Oxygen,Defender
2,Oxygen,GoalKeeper
2,Castor Oil,GoalKeeper
8,Castor Oil,Forward
13,Castor Oil,Forward
15,Castor Oil,Midfielder
21,Castor Oil,Midfielder
30,Castor Oil,Midfielder
42,Castor Oil,Defender
43,Castor Oil,Defender
50,Castor Oil,Defender
57,Castor Oil,Defender
62,Castor Oil,Defender
78,Castor Oil,Defender
8,OSCIMIN,Forward
76,OSCIMIN,Forward
13,OSCIMIN,GoalKeeper
12,OSCIMIN,Forward
14,OSCIMIN,Midfielder
19,OSCIMIN,Midfielder
96,OSCIMIN,Midfielder
50,OSCIMIN,Midfielder
77,OSCIMIN,Defender
90,OSCIMIN,Defender
48,OSCIMIN,Defender
15,OSCIMIN,Defender
74,OSCIMIN,Defender
1,CRESTOR,GoalKeeper
2,CRESTOR,Forward
27,CRESTOR,Forward
31,CRESTOR,Midfielder
44,CRESTOR,Midfielder
69,CRESTOR,Midfielder
76,CRESTOR,Midfielder
5,CRESTOR,Midfielder
79,CRESTOR,Defender
88,CRESTOR,Defender
97,CRESTOR,Defender
99,CRESTOR,Defender
4,Peppermint,GoalKeeper
